0,0,0,0,0,0,0,0,0,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
89,302401,"0,0002943111961",166,#REF!,#REF!,318,#REF!,#REF!,318,#REF!,#REF!,129,#REF!,#REF!,18,#REF!,#REF!,12,#REF!,#REF!,104,#REF!,#REF!,,#REF!,#REF!,,"157,26",0
0,0,0,"1777,38",#REF!,#REF!,15755,#REF!,#REF!,,#REF!,#REF!,,36991,0,,#REF!,#REF!,,#REF!,#REF!,,#REF!,#REF!,,#REF!,#REF!,,"400,61",0
0,0,0,0,0,0,0,0,0,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
0,0,0,0,0,0,0,0,0,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
"0,00","0,00","0,00","0,00","0,00",#REF!,"0,00","0,00",#REF!,#REF!,,,#DIV/0!,,,,,#REF!,#REF!,,#REF!,#REF!,,,,,,,#REF!,
#REF!,"14,00","890,00","0,02","957,28",#REF!,#REF!,"10.790,00",#REF!,#REF!,"255,00","151.370,00","0,00","363,00","3.614,00","0,10","66,00",#REF!,#REF!,"19,00",#REF!,#REF!,"384,00","384.112,00","0,00","61,00","384.112,00","0,00",#REF!,"365.337,00"
"0,00","0,00","0,00","0,00","0,00",#REF!,"0,00","0,00",#REF!,#REF!,,,#DIV/0!,,,,,#REF!,#REF!,,#REF!,#REF!,,,,,,,#REF!,
#REF!,"0,00","0,00","0,00","0,00",#REF!,#REF!,"0,00",#REF!,#REF!,,"187.455,00","0,00",,,,,#REF!,#REF!,,#REF!,#REF!,,"187.455,00",,,"187.455,00",,#REF!,
"0,00","0,00","0,00","0,00","0,00",#REF!,"0,00","0,00",#REF!,#REF!,,,#DIV/0!,,,,,#REF!,#REF!,,#REF!,#REF!,,,,,,,#REF!,
